Date,Rainfall(mm)
1901-01-01,28.7
1901-02-01,44.7
1901-03-01,51.6
1901-04-01,160
1901-05-01,174.7
1901-06-01,824.6
1901-07-01,743
1901-08-01,357.5
1901-09-01,197.7
1901-10-01,266.9
1901-11-01,350.8
1901-12-01,48.4
1902-01-01,6.7
1902-02-01,2.6
1902-03-01,57.3
1902-04-01,83.9
1902-05-01,134.5
1902-06-01,390.9
1902-07-01,1205
1902-08-01,315.8
1902-09-01,491.6
1902-10-01,358.4
1902-11-01,158.3
1902-12-01,121.5
1903-01-01,3.2
1903-02-01,18.6
1903-03-01,3.1
1903-04-01,83.6
1903-05-01,249.7
1903-06-01,558.6
1903-07-01,1022.5
1903-08-01,420.2
1903-09-01,341.8
1903-10-01,354.1
1903-11-01,157
1903-12-01,59
1904-01-01,23.7
1904-02-01,3
1904-03-01,32.2
1904-04-01,71.5
1904-05-01,235.7
1904-06-01,1098.2
1904-07-01,725.5
1904-08-01,351.8
1904-09-01,222.7
1904-10-01,328.1
1904-11-01,33.9
1904-12-01,3.3
1905-01-01,1.2
1905-02-01,22.3
1905-03-01,9.4
1905-04-01,105.9
1905-05-01,263.3
1905-06-01,850.2
1905-07-01,520.5
1905-08-01,293.6
1905-09-01,217.2
1905-10-01,383.5
1905-11-01,74.4
1905-12-01,0.2
1906-01-01,26.7
1906-02-01,7.4
1906-03-01,9.9
1906-04-01,59.4
1906-05-01,160.8
1906-06-01,414.9
1906-07-01,954.2
1906-08-01,442.8
1906-09-01,131.2
1906-10-01,251.7
1906-11-01,163.1
1906-12-01,86
1907-01-01,18.8
1907-02-01,4.8
1907-03-01,55.7
1907-04-01,170.8
1907-05-01,101.4
1907-06-01,770.9
1907-07-01,760.4
1907-08-01,981.5
1907-09-01,225
1907-10-01,309.7
1907-11-01,219.1
1907-12-01,52.8
1908-01-01,8
1908-02-01,20.8
1908-03-01,38.2
1908-04-01,102.9
1908-05-01,142.6
1908-06-01,592.6
1908-07-01,902.2
1908-08-01,352.9
1908-09-01,175.9
1908-10-01,253.3
1908-11-01,47.9
1908-12-01,11
1909-01-01,54.1
1909-02-01,11.8
1909-03-01,61.3
1909-04-01,93.8
1909-05-01,473.2
1909-06-01,704.7
1909-07-01,782.3
1909-08-01,258
1909-09-01,195.4
1909-10-01,212.1
1909-11-01,171.1
1909-12-01,32.3
1910-01-01,2.7
1910-02-01,25.7
1910-03-01,23.3
1910-04-01,124.5
1910-05-01,148.8
1910-06-01,680
1910-07-01,484.1
1910-08-01,473.8
1910-09-01,248.6
1910-10-01,356.6
1910-11-01,280.4
1910-12-01,0.1
1911-01-01,3
1911-02-01,4.3
1911-03-01,18.2
1911-04-01,51
1911-05-01,180.6
1911-06-01,990
1911-07-01,705.3
1911-08-01,178.6
1911-09-01,60.2
1911-10-01,302.3
1911-11-01,145.7
1911-12-01,87.6
1912-01-01,1.9
1912-02-01,15
1912-03-01,11.2
1912-04-01,122.7
1912-05-01,217.3
1912-06-01,948.2
1912-07-01,833.6
1912-08-01,534.4
1912-09-01,136.8
1912-10-01,469.5
1912-11-01,138.7
1912-12-01,22
1913-01-01,3.1
1913-02-01,5.2
1913-03-01,20.7
1913-04-01,75.7
1913-05-01,198.8
1913-06-01,541.7
1913-07-01,763.2
1913-08-01,247.2
1913-09-01,176.9
1913-10-01,422.5
1913-11-01,109.9
1913-12-01,45.8
1914-01-01,0.7
1914-02-01,6.8
1914-03-01,18.1
1914-04-01,32.7
1914-05-01,164.2
1914-06-01,565.3
1914-07-01,857.7
1914-08-01,402.2
1914-09-01,241
1914-10-01,374.4
1914-11-01,100.9
1914-12-01,135.2
1915-01-01,16.9
1915-02-01,23.5
1915-03-01,42.7
1915-04-01,106
1915-05-01,154.5
1915-06-01,696.1
1915-07-01,775.6
1915-08-01,298.8
1915-09-01,396.6
1915-10-01,196.6
1915-11-01,302.5
1915-12-01,14.9
1916-01-01,0
1916-02-01,7.8
1916-03-01,22
1916-04-01,82.4
1916-05-01,199
1916-06-01,920.2
1916-07-01,513.9
1916-08-01,396.9
1916-09-01,339.3
1916-10-01,320.7
1916-11-01,134.3
1916-12-01,8.9
1917-01-01,2.9
1917-02-01,47.6
1917-03-01,79.4
1917-04-01,38.1
1917-05-01,122.9
1917-06-01,703.7
1917-07-01,342.7
1917-08-01,335.1
1917-09-01,470.3
1917-10-01,264.1
1917-11-01,256.4
1917-12-01,41.6
1918-01-01,42.9
1918-02-01,5
1918-03-01,32.8
1918-04-01,51.3
1918-05-01,683
1918-06-01,464.3
1918-07-01,167.5
1918-08-01,376
1918-09-01,96.4
1918-10-01,233.2
1918-11-01,295.4
1918-12-01,54.1
1919-01-01,43
1919-02-01,6.1
1919-03-01,33.9
1919-04-01,65.9
1919-05-01,247
1919-06-01,636.8
1919-07-01,648
1919-08-01,484.2
1919-09-01,255.9
1919-10-01,249.2
1919-11-01,280.1
1919-12-01,53
1920-01-01,35.2
1920-02-01,5.5
1920-03-01,24.1
1920-04-01,172
1920-05-01,87.7
1920-06-01,964.3
1920-07-01,940.8
1920-08-01,235
1920-09-01,178
1920-10-01,350.1
1920-11-01,302.3
1920-12-01,8.2
1921-01-01,43
1921-02-01,4.7
1921-03-01,15
1921-04-01,171.3
1921-05-01,104.1
1921-06-01,489.1
1921-07-01,639.8
1921-08-01,641.9
1921-09-01,156.7
1921-10-01,302.4
1921-11-01,136.2
1921-12-01,15.8
1922-01-01,30.5
1922-02-01,21.4
1922-03-01,16.3
1922-04-01,89.6
1922-05-01,293.6
1922-06-01,663.1
1922-07-01,1025.1
1922-08-01,320.6
1922-09-01,222.4
1922-10-01,266.3
1922-11-01,293.7
1922-12-01,25.1
1923-01-01,24.7
1923-02-01,0.7
1923-03-01,78.9
1923-04-01,43.5
1923-05-01,80
1923-06-01,722.5
1923-07-01,1008.7
1923-08-01,943
1923-09-01,254.3
1923-10-01,203.1
1923-11-01,83.9
1923-12-01,41.6
1924-01-01,19.3
1924-02-01,2.9
1924-03-01,66.6
1924-04-01,111
1924-05-01,185.4
1924-06-01,1011.7
1924-07-01,1526.5
1924-08-01,624
1924-09-01,289.1
1924-10-01,176.5
1924-11-01,162.9
1924-12-01,50.4
1925-01-01,4.1
1925-02-01,16.5
1925-03-01,76.9
1925-04-01,93.4
1925-05-01,258.2
1925-06-01,688.8
1925-07-01,593.5
1925-08-01,554.1
1925-09-01,158.8
1925-10-01,295.4
1925-11-01,223.7
1925-12-01,98.8
1926-01-01,28.6
1926-02-01,5.8
1926-03-01,23.1
1926-04-01,55.8
1926-05-01,222.6
1926-06-01,563.9
1926-07-01,885.2
1926-08-01,536
1926-09-01,322.7
1926-10-01,216.7
1926-11-01,88.8
1926-12-01,16.2
1927-01-01,18.8
1927-02-01,35.3
1927-03-01,49.6
1927-04-01,86.5
1927-05-01,265.4
1927-06-01,720.2
1927-07-01,888.2
1927-08-01,315
1927-09-01,335.6
1927-10-01,135.8
1927-11-01,137.6
1927-12-01,6.8
1928-01-01,12.7
1928-02-01,65.9
1928-03-01,51.3
1928-04-01,121.1
1928-05-01,81.9
1928-06-01,590.7
1928-07-01,420.6
1928-08-01,553.2
1928-09-01,75.9
1928-10-01,321.5
1928-11-01,155.2
1928-12-01,52.7
1929-01-01,12.8
1929-02-01,29.8
1929-03-01,58.9
1929-04-01,210.7
1929-05-01,148
1929-06-01,946.6
1929-07-01,844
1929-08-01,293.9
1929-09-01,268.9
1929-10-01,350.4
1929-11-01,158.2
1929-12-01,39.4
1930-01-01,10.8
1930-02-01,10.8
1930-03-01,39
1930-04-01,102.7
1930-05-01,404.9
1930-06-01,633.1
1930-07-01,401.7
1930-08-01,273.4
1930-09-01,411.5
1930-10-01,433.9
1930-11-01,207
1930-12-01,89.2
1931-01-01,3.3
1931-02-01,0.3
1931-03-01,19.2
1931-04-01,126.9
1931-05-01,131.7
1931-06-01,541.7
1931-07-01,653.9
1931-08-01,1199.2
1931-09-01,163.2
1931-10-01,149.3
1931-11-01,164.3
1931-12-01,106.5
1932-01-01,0.1
1932-02-01,19.3
1932-03-01,28.6
1932-04-01,113
1932-05-01,646.5
1932-06-01,341
1932-07-01,716.4
1932-08-01,423.2
1932-09-01,317.3
1932-10-01,543.2
1932-11-01,223.2
1932-12-01,31.3
1933-01-01,1
1933-02-01,9.3
1933-03-01,36.9
1933-04-01,139.5
1933-05-01,738.8
